plot_id,row,column,barcode,al_col,iblock,rep,Irr,loc,entry,source,name,identity,stand,flowering_notes,hairiness,date_50pct_open,days_to_50pct_open,yield_rating,sc_wt,Scyld_ac,25_boll_wt,boll_no_ha,fuzzy_seed_wt,Lint_wt,LintPct,Lyld_ac,Lyd_kg_ha,mic,UHM,UI,Str,Elo,SFC
2038,22,3,,6,33,2,WL,Sandhills,139,AZ_2014_792,TX-1283-3,44_3,2,2016.7.13,2,.,135+,2,.,.,76,.,50,26,0.34,.,.,4.38,1.07,80.1,30.4,5.1,9.6
2039,23,3,,7,33,2,WL,Sandhills,187,AZ_2014_887,TX-1114-2,22_2,4,2016.7.6,3,.,135+,2,1,393,78,141184,54,23,0.29,113.97,127.7431891,5.32,0.85,78.3,26.5,6.3,11.1
2040,24,3,,8,33,2,WL,Sandhills,176,AZ_2014_866,TX-1300-1,45_1,4,2016.7.6,2,9.9,119,2,0.6,235.8,113,58473,72,39,0.35,82.53,92.50368869,4.49,1.04,81.2,27.9,4.7,8.9
2041,25,3,,1,34,2,WL,Sandhills,113,AZ_2014_720,TX-202,77_1,4,2016.7.13,2,9.23,134,1,0.6,235.8,90,73420,61,29,0.32,75.46,84.57928448,4.35,0.99,80.8,27.9,5.3,10.2
2042,26,3,,2,34,2,WL,Sandhills,206,AZ_2015_052,TX-647,179_1,5,2016.7.13,3,9.14,125,2,1.4,550.2,86,179274,53,33,0.38,209.08,234.3471614,5.06,1.01,76.6,31.1,4.9,11.9
2043,27,3,,3,34,2,WL,Sandhills,18,AZ_2014_587,TX-681,12_1,3,2016.7.6,3,9.14,125,2,0.6,235.8,108,61178,70,37,0.34,80.17,89.85848445,4.08,1.01,80,30.3,5.5,10.2
2044,28,3,,4,34,2,WL,Sandhills,175,AZ_2014_865,TX-1270-2,43_2,3,2016.7.6,2,9.23,134,2,1,393,97,113529,71,26,0.27,106.11,118.933314,5.14,1,78.9,33.1,3.6,10.8
2045,29,3,,5,34,2,WL,Sandhills,43,AZ_2014_614,TX-2317,88_1,4,2016.6.29,3,9.9,119,2,2,786,126,174799,81,44,0.35,275.1,308.345629,4.83,1.06,81.3,31,5.3,9.4
2046,30,3,,6,34,2,WL,Sandhills,177,AZ_2014_867,TX-1300-2,45_2,2,2016.7.13,2,9.9,119,2,0.6,235.8,128,51622,87,40,0.31,73.1,81.93408025,3.48,1.06,80.4,33,6.3,8.7
2047,31,3,,7,34,2,WL,Sandhills,89,AZ_2014_665,TX-1418,63_1,5,2016.7.6,3,9.6,119,3,2.2,864.6,91,266232,56,36,0.4,345.84,387.634505,5.22,1.01,78,27.1,5,10.1
2048,32,3,,8,34,2,WL,Sandhills,208,AZ_2015_063,TX-704-1_white,182_1,5,2016.6.29,3,9.14,125,2,2.4,943.2,101,261681,66,34,0.34,320.69,359.4451463,4.78,0.98,77.9,28.3,5.5,10
2049,32,4,,1,35,2,WL,Sandhills,164,AZ_2014_833,TX-691-2,153_2,4,2016.7.6,3,9.9,119,2,2.4,943.2,107,247003,67,40,0.37,348.98,391.1539716,4.89,1.07,82.9,30.3,4.9,8.3
2050,31,4,,2,35,2,WL,Sandhills,160,AZ_2014_828,TX-498-3,144_3,4,2016.6.29,2,9.14,125,1,0.6,235.8,119,55523,78,40,0.34,80.17,89.85848445,4.55,0.92,72,27.2,5.7,16.5
2051,30,4,,3,35,2,WL,Sandhills,197,AZ_2015_020,TX-1412,172_1,5,2016.7.13,3,9.23,134,2,2,786,103,213832,69,33,0.32,251.52,281.9160036,5.36,0.97,79.4,29.5,5.6,9
2052,29,4,,4,35,2,WL,Sandhills,106,AZ_2014_704,TX-122-2,41_2,5,2016.7.13,2,8.31,112,2,1.8,707.4,102,194335,66,36,0.35,247.59,277.5110661,5.49,1,79.9,31.1,5.6,10.4
2053,28,4,,5,35,2,WL,Sandhills,36,AZ_2014_607,TX-2074,80_1,4,2016.7.13,4,9.14,125,2,1.4,550.2,149,103472,95,52,0.35,192.57,215.8419403,4.81,1.06,79.9,28.1,3.7,10.6
2054,27,4,,6,35,2,WL,Sandhills,202,AZ_2015_029,TX-2139,185_1,4,2016.7.6,2,9.14,125,2,1,393,61,180530,43,18,0.3,117.9,132.1481267,4.48,1.08,80.5,30.5,5.2,9.6
2055,26,4,,7,35,2,WL,Sandhills,196,AZ_2015_008,TX-1301,169_1,5,2016.7.6,3,8.29,112,2,2,786,134,164363,84,50,0.37,290.82,325.9653792,4.65,1.01,80.1,30.5,6,10.5
2056,25,4,,8,35,2,WL,Sandhills,21,AZ_2014_591,TX-1233,42_1,3,2016.7.13,2,9.14,125,2,1,393,139,79225,88,49,0.35,137.55,154.1728145,4.51,1.01,80.8,31.5,4.9,10.2
