row,cross,trees,Total
1,SC17-2,1-128,128
2,SC17-2,1-36,36
2,SC17-1,37-92,56
2,SC17-8,93-128,36
3,SC17-8,1-25,25
3,SC17-7,26-100,75
3,SC17-6,101-128,28
4,SC17-6,1-14,14
4,SC17-5,15-55,41
4,SC17-3,56-67,12
4,SC17-4,68-73,6
