#progeny
#Accession
wsu86	WSU86
wsu87	WSU87
wsu87	WSU87
wsu87	WSU87
wsu87	WSU87
wsu88	WSU88
wsu88	WSU88
wsu89	WSU89
wsu89	WSU89
wsu89	WSU89
wsu89	WSU89
wsu90	WSU90
wsu90	WSU90
wsu92	WSU92
wsu92	WSU92
wsu92	WSU92
wsu92	WSU92
wsu92	WSU92
wsu92	WSU92
wsu98	WSU98
wsu98	WSU98
wsu98	WSU98
wsu98	WSU98
wsu99	WSU99
wsu99	WSU99
0408-0017	0408-0017
0414-0005	0414-0005
arlet	Arlet
arlet	Arlet
aurgoldga	AurGoldGa
aurgoldga	AurGoldGa
chinook	Chinook
chinook	Chinook
cqr10-t17	CQR10-T17
cqr10-t17	CQR10-T17
crimscrisp	Crimscrisp
crimscrisp	Crimscrisp
crimscrisp	Crimscrisp
crimscrisp	Crimscrisp
cv12-10b-103-0420	CV12-10B-103-0420
cv12-10b-75-0420	CV12-10B-75-0420
cv12-10b-82-0420	CV12-10B-82-0420
cv12-10b-90-0420	CV12-10B-90-0420
cv12-13a-41-0416	CV12-13A-41-0416
cv12-13b-29-0401	CV12-13B-29-0401
cv12-14a-65-0417d	CV12-14A-65-0417D
cv12-14a-82-0109	CV12-14A-82-0109
cv12-14a-82-0109	CV12-14A-82-0109
cv12-14a-82-0109	CV12-14A-82-0109
cv12-14a-82-0109	CV12-14A-82-0109
cv12-14b-41-0409	CV12-14B-41-0409
cv12-14b-42-9816	CV12-14B-42-9816
cv12-14b-42-9816	CV12-14B-42-9816
cv12-14b-42-9816	CV12-14B-42-9816
cv12-14b-42-9816	CV12-14B-42-9816
cv12-14b-42-9816	CV12-14B-42-9816
cv12-14b-42-9816	CV12-14B-42-9816
cv12-14b-42-9816	CV12-14B-42-9816
cv12-14b-42-9816	CV12-14B-42-9816
cv12-15a-15-0418	CV12-15A-15-0418
cv12-15a-18-0109	CV12-15A-18-0109
cv12-15a-18-0109	CV12-15A-18-0109
cv12-15a-18-0109	CV12-15A-18-0109
cv12-15a-18-0109	CV12-15A-18-0109
cv12-15a-18-0109	CV12-15A-18-0109
cv12-15a-18-0109	CV12-15A-18-0109
cv12-15a-18-0109	CV12-15A-18-0109
cv12-15a-18-0109	CV12-15A-18-0109
cv12-15a-20-0109	CV12-15A-20-0109
cv12-15a-20-0109	CV12-15A-20-0109
cv12-15a-20-0109	CV12-15A-20-0109
cv12-15a-20-0109	CV12-15A-20-0109
cv12-15a-20-0109	CV12-15A-20-0109
cv12-15a-20-0109	CV12-15A-20-0109
cv12-15a-20-0109	CV12-15A-20-0109
cv12-15a-20-0109	CV12-15A-20-0109
cv12-15a-9-0109	CV12-15A-9-0109
cv12-15a-9-0109	CV12-15A-9-0109
cv12-15a-9-0109	CV12-15A-9-0109
cv12-15a-9-0109	CV12-15A-9-0109
cv12-17b-66-0404	CV12-17B-66-0404
cv12-18a-2-0109	CV12-18A-2-0109
cv12-18a-2-0109	CV12-18A-2-0109
cv12-18a-2-0109	CV12-18A-2-0109
cv12-18a-2-0109	CV12-18A-2-0109
cv12-19a-23-0316fb	CV12-19A-23-0316FB
cv12-19a-60-0109	CV12-19A-60-0109
cv12-19a-60-0109	CV12-19A-60-0109
cv12-19a-60-0109	CV12-19A-60-0109
cv12-19a-60-0109	CV12-19A-60-0109
cv12-19a-60-0109	CV12-19A-60-0109
cv12-19a-60-0109	CV12-19A-60-0109
cv12-19b-3-0404	CV12-19B-3-0404
cv12-1b-20-0406	CV12-1B-20-0406
cv12-1b-4-0406	CV12-1B-4-0406
cv12-20a-25-0109	CV12-20A-25-0109
cv12-20a-25-0109	CV12-20A-25-0109
cv12-20b-29-0421	CV12-20B-29-0421
cv12-20b-47-0421	CV12-20B-47-0421
cv12-20b-50-0421	CV12-20B-50-0421
cv12-20b-62-0421	CV12-20B-62-0421
cv12-20b-63-0421	CV12-20B-63-0421
cv12-21a-4-0415d	CV12-21A-4-0415D
cv12-21a-99-0415fb	CV12-21A-99-0415FB
cv12-21b-80-0421	CV12-21B-80-0421
cv12-22a-11-0415d	CV12-22A-11-0415D
cv12-22a-79-0403	CV12-22A-79-0403
cv12-22a-80-0403	CV12-22A-80-0403
cv12-23a-12-0320	CV12-23A-12-0320
cv12-23b-30-0408	CV12-23B-30-0408
cv12-23b-89-0408	CV12-23B-89-0408D
cv12-24a-10-0320	CV12-24A-10-0320
cv12-24a-11-0320	CV12-24A-11-0320
cv12-24a-57-0109	CV12-24A-57-0109
cv12-24a-57-0109	CV12-24A-57-0109
cv12-24a-57-0109	CV12-24A-57-0109
cv12-24a-57-0109	CV12-24A-57-0109
cv12-24b-35-0408d	CV12-24B-35-0408D
cv12-25a-109-0417	CV12-25A-109-0417
cv12-25a-68-0417	CV12-25A-68-0417
cv12-25a-69-0417	CV12-25A-69-0417
cv12-25b-70-0405	CV12-25B-70-0405
cv12-26a-16-0417	CV12-26A-16-0417
cv12-26a-41-0417	CV12-26A-41-0417
cv12-26b-11-0405	CV12-26B-11-0405
cv12-26b-13-0405	CV12-26B-13-0405
cv12-26b-51-0405	CV12-26B-51-0405
cv12-27a-20-0401	CV12-27A-20-0401
cv12-27a-81-0201	CV12-27A-81-0201
cv12-27a-81-0201	CV12-27A-81-0201
cv12-27a-81-0201	CV12-27A-81-0201
cv12-27a-81-0201	CV12-27A-81-0201
cv12-27a-81-0201	CV12-27A-81-0201
cv12-27a-81-0201	CV12-27A-81-0201
cv12-27a-81-0201	CV12-27A-81-0201
cv12-27a-81-0201	CV12-27A-81-0201
cv12-27a-89-0401d	CV12-27A-89-0401D
cv12-28a-26-0401	CV12-28A-26-0401
cv12-28b-50-0407	CV12-28B-50-0407
cv12-28b-68-0407d	CV12-28B-68-0407D
cv12-28b-87-0408d	CV12-28B-87-0408D
cv12-30b-29-0407	CV12-30B-29-0407
cv12-30b-70-0207	CV12-30B-70-0207
cv12-31b-106-0202	CV12-31B-106-0202
cv12-31b-94-0216	CV12-31B-94-0216
cv12-31b-94-0216	CV12-31B-94-0216
cv12-33b-25-0109	CV12-33B-25-0109
cv12-33b-25-0109	CV12-33B-25-0109
cv12-33b-25-0109	CV12-33B-25-0109
cv12-33b-25-0109	CV12-33B-25-0109
cv12-35b-12-0109	CV12-35B-12-0109
cv12-3b-41-0406	CV12-3B-41-0406
cv12-4b-78-0406	CV12-4B-78-0406
cv12-4b-88-0406	CV12-4B-88-0406
cv12-5a-49-0013	CV12-5A-49-0013
cv12-5a-49-0013	CV12-5A-49-0013
cv12-5a-6-0013	CV12-5A-6-0013
cv12-5a-6-0013	CV12-5A-6-0013
cv12-6b-6-0420	CV12-6B-6-0420
cv12-7b-100-0420	CV12-7B-100-0420
cv12-7b-18-0420	CV12-7B-18-0420
cv12-7b-56-0420	CV12-7B-56-0420
cv12-7b-99-0420	CV12-7B-99-0420
cv12-8b-50-0420	CV12-8B-50-0420
cv12-8b-57-0420	CV12-8B-57-0420
cv12-9b-11-0420	CV12-9B-11-0420
cv12-9b-21-0420	CV12-9B-21-0420
cv14-10-108-0301d	CV14-10S-108-0301D
cv14-10-127-0301d	CV14-10S-127-0301D
cv14-10-128-0301d	CV14-10S-128-0301D
cv14-10-143-0321	CV14-10S-143-0321
cv14-10-63-0321	CV14-10S-63-0321
cv14-10-83-0301d	CV14-10S-83-0301D
cv14-10-84-0301d	CV14-10S-84-0301D
cv14-11-115-0321	CV14-11S-115-0321
cv14-1-113-0315	CV14-1S-113-0315
cv14-1-156-0315	CV14-1S-156-0315
cv14-11-66-0321	CV14-11S-66-0321
cv14-11n-103-0321	CV14-11N-103-0321
cv14-12-1-0321	CV14-12S-1-0321
cv14-12-38-0321	CV14-12S-38-0321
cv14-12-59-0201	CV14-12S-59-0201
cv14-12-61-0201	CV14-12S-61-0201
cv14-12-79-0304	CV14-12S-79-0304
cv14-13-11-0201	CV14-13S-11-0201
cv14-13-111-0201	CV14-13S-111-0201
cv14-13-127-0201	CV14-13S-127-0201
cv14-13-127-0201	CV14-13S-127-0201
cv14-13-156-0201	CV14-13S-156-0201
cv14-13-162-0201	CV14-13S-162-0201
cv14-13-50-0201	CV14-13S-50-0201
cv14-13-61-0321	CV14-13S-61-0321
cv14-14-105-0201	CV14-14S-105-0201
cv14-14-111-0201	CV14-14S-111-0201
cv14-14-121-0201	CV14-14S-121-0201
cv14-14-127-0201	CV14-14S-127-0201
cv14-14-138-0201	CV14-14S-138-0201
cv14-14-28-0201	CV14-14S-28-0201
cv14-14-66-0201	CV14-14S-66-0201
cv14-14-94-0201	CV14-14S-94-0201
cv14-14-94-0201	CV14-14S-94-0201
cv14-14-94-0201	CV14-14S-94-0201
cv14-15-131-0327fb	CV14-15S-131-0327FB
cv14-15-39-0211d	CV14-15S-39-0211D
cv14-16-101-0327fb	CV14-16S-101-0327FB
cv14-16-117-0327fb	CV14-16S-117-0327FB
cv14-16-66-0313fb	CV14-16S-66-0313FB
cv14-16s-53-0313fb	CV14-16S-53-0313FB
cv14-1-72-0317	CV14-1S-72-0317
cv14-18-31-0206d	CV14-18S-31-0206D
cv14-20-16-0205d	CV14-20S-16-0205D
cv14-20-17-0205d	CV14-20S-17-0205D
cv14-20-30-0205d	CV14-20S-30-0205D
cv14-21-126-0301	CV14-21S-126-0301
cv14-22-12-0301	CV14-22S-12-0301
cv14-22-126-0301	CV14-22S-126-0301
cv14-22-145-0301	CV14-22S-145-0301
cv14-22-16-0301	CV14-22S-16-0301
cv14-22-21-0301	CV14-22S-21-0301
cv14-22-46-0301	CV14-22S-46-0301
cv14-23-123-0301	CV14-23S-123-0301
cv14-24-44-0301	CV14-24S-44-0301
cv14-24-91-0301	CV14-24S-91-0301
cv14-25-55-0317	CV14-25S-55-0317
cv14-26-153-0301	CV14-26S-153-0301
cv14-27-14-0301	CV14-27S-14-0301
cv14-27-191-0301	CV14-27S-191-0301
cv14-27-191-0301	CV14-27S-191-0301
cv14-27-195-0301	CV14-27S-195-0301
cv14-27-42-0301	CV14-27S-42-0301
cv14-27-66-0301	CV14-27S-66-0301
cv14-28-114-0301	CV14-28S-114-0301
cv14-28-159-0301	CV14-28S-159-0301
cv14-28-161-0301	CV14-28S-161-0301
cv14-28-41-0301	CV14-28S-41-0301
cv14-2-90-0315	CV14-2S-90-0315
cv14-29-103-0302	CV14-29S-103-0302
cv14-29-118-0302	CV14-29S-118-0302
cv14-29-23-0302	CV14-29S-23-0302
cv14-2-98-0315	CV14-2S-98-0315
cv14-30-53-0303	CV14-30S-53-0303
cv14-30-74-0303	CV14-30S-74-0303
cv14-31-110-0303	CV14-31S-110-0303
cv14-3-133-0317/8	CV14-3S-133-0317/8
cv14-31-98-0303	CV14-31S-98-0303
cv14-4-123-0317/8	CV14-4S-123-0317/8
cv14-4-59-0317/8	CV14-4S-59-0317/8
cv14-4-98-0317/8	CV14-4S-98-0317/8
cv14-5-112-0317/8	CV14-5S-112-0317/8
cv14-5-20-0317/8	CV14-5S-20-0317/8
cv14-5-34-0306fb	CV14-5S-34-0306FB
cv14-5-64-0317/8	CV14-5S-64-0317/8
cv14-6-110-0317/8	CV14-6S-110-0317/8
cv14-6-118-0317/8	CV14-6S-118-0317/8
cv14-6-129-0317/8	CV14-6S-129-0317/8
cv14-6-30-0318	CV14-6S-30-0318
cv14-7-110-0313	CV14-7S-110-0313
cv14-7-112-0313	CV14-7S-112-0313
cv14-7-126-0107fb	CV14-7S-126-0107FB
cv14-7-41-0322fb	CV14-7S-41-0322FB
cv14-7-70-0313	CV14-7S-70-0313
cv14-7-84-0107fb	CV14-7S-84-0107FB
cv14-8-105-0321	CV14-8S-105-0321
cv14-8-123-0313	CV14-8S-123-0313
cv14-8-126-0313	CV14-8S-126-0313
cv14-8-131-0321	CV14-8S-131-0321
cv14-8-19-0212d	CV14-8S-19-0212D
cv14-8-21-0321	CV14-8S-21-0321
cv14-8-7-0212d	CV14-8S-7-0212D
cv14-9-102-0321	CV14-9S-102-0321
cv14-9-31-0321	CV14-9S-31-0321
cv14-9-64-0212d	CV14-9S-64-0212D
cv14-9-88-0321	CV14-9S-88-0321
cv14-9-92-0212d	CV14-9S-92-0212D
cv15-10-123-9803	CV15-10-123-9803
cv15-10-123-9803	CV15-10-123-9803
cv15-10-123-9803	CV15-10-123-9803
cv15-10-123-9803	CV15-10-123-9803
cv15-7-246-0018	CV15-7-246-0018
cv15-7-246-0018	CV15-7-246-0018
cv15-7-246-0018	CV15-7-246-0018
cv15-7-246-0018	CV15-7-246-0018
cv15-7-246-0018	CV15-7-246-0018
cv15-7-246-0018	CV15-7-246-0018
cv16-2-252-0305	CV16-2-252-0305
cv16-2-99-0305	CV16-2-99-0305
cv16-3-174-0105	CV16-3-174-0105
cv16-3-178-0105	CV16-3-178-0105
cv16-3-5-0314	CV16-3-5-0314
honeycrisp	WSU115
honeycrisp	WSU115
honeycrisp	WSU115
honeycrisp	WSU115
kaz50	Kaz50
kaz51	Kaz51
kaz52	Kaz52
kaz53	Kaz53
kaz54	Kaz54
kaz55	Kaz55
kaz56	Kaz56
pinova	Pinova
pinova	Pinova
sciearly	Sciearly
sciearly	Sciearly
scired	Scired
scired	Scired
t19-20-104-9820	T19-20-104-9820
t19-20-104-9820	T19-20-104-9820
t19-20-104-9820	T19-20-104-9820
t19-20-104-9820	T19-20-104-9820
t19-20-104-9820	T19-20-104-9820
t19-20-104-9820	T19-20-104-9820
t21-3s-103-0110	T21-3S-103-0110
t21-3s-103-0110	T21-3S-103-0110
t21-5s-98-0110	T21-5S-98-0110
t21-5s-98-0110	T21-5S-98-0110
t21-5s-98-0110	T21-5S-98-0110
t21-5s-98-0110	T21-5S-98-0110
t21-6s-28-0110	T21-6S-28-0110
t21-6s-28-0110	T21-6S-28-0110
t21-7s-64-0110	T21-7S-64-0110
t21-7s-64-0110	T21-7S-64-0110
t21-97-0109	T21-97-0109
t21-97-0109	T21-97-0109
t21-99-0109	T21-99-0109
wsu100	WSU100
wsu100	WSU100
wsu100	WSU100
wsu100	WSU100
wsu101	WSU101
wsu101	WSU101
wsu102	WSU102
wsu102	WSU102
wsu102	WSU102
wsu102	WSU102
wsu102	WSU102
wsu102	WSU102
wsu105	WSU105
wsu105	WSU105
wsu105	WSU105
wsu105	WSU105
wsu105	WSU105
wsu105	WSU105
wsu105	WSU105
wsu105	WSU105
wsu11	WSU11
wsu11	WSU11
wsu11	WSU11
wsu11	WSU11
wsu11	WSU11
wsu11	WSU11
wsu11	WSU11
wsu11	WSU11
wsu11	WSU11
wsu11	WSU11
wsu11	WSU11
wsu11	WSU11
wsu11	WSU11
wsu11	WSU11
wsu11	WSU11
wsu11	WSU11
wsu11	WSU11
wsu11	WSU11
wsu11	WSU11
wsu11	WSU11
wsu11	WSU11
wsu11	WSU11
wsu11	WSU11
wsu11	WSU11
wsu11	WSU11
wsu111	WSU111
wsu112	WSU112
wsu12	WSU12
wsu12	WSU12
wsu12	WSU12
wsu12	WSU12
wsu12	WSU12
wsu12	WSU12
wsu12	WSU12
wsu12	WSU12
wsu12	WSU12
wsu12	WSU12
wsu12	WSU12
wsu12	WSU12
wsu12	WSU12
wsu12	WSU12
wsu12	WSU12
wsu12	WSU12
wsu12	WSU12
wsu12	WSU12
wsu12	WSU12
wsu12	WSU12
wsu12	WSU12
wsu12	WSU12
wsu12	WSU12
wsu12	WSU12
wsu12	WSU12
wsu12	WSU12
wsu12	WSU12
wsu12	WSU12
wsu12	WSU12
wsu12	WSU12
wsu126	WSU126
wsu13	WSU13
wsu13	WSU13
wsu13	WSU13
wsu13	WSU13
wsu13	WSU13
wsu13	WSU13
wsu13	WSU13
wsu13	WSU13
wsu13	WSU13
wsu13	WSU13
wsu13	WSU13
wsu13	WSU13
wsu13	WSU13
wsu13	WSU13
wsu13	WSU13
wsu13	WSU13
wsu13	WSU13
wsu13	WSU13
wsu13	WSU13
wsu13	WSU13
wsu13	WSU13
wsu13	WSU13
wsu13	WSU13
wsu13	WSU13
wsu13	WSU13
wsu13	WSU13
wsu13	WSU13
wsu13	WSU13
wsu130	WSU130
wsu14	WSU14
wsu14	WSU14
wsu14	WSU14
wsu14	WSU14
wsu14	WSU14
wsu14	WSU14
wsu14	WSU14
wsu14	WSU14
wsu14	WSU14
wsu14	WSU14
wsu14	WSU14
wsu14	WSU14
wsu14	WSU14
wsu14	WSU14
wsu14	WSU14
wsu14	WSU14
wsu14	WSU14
wsu14	WSU14
wsu14	WSU14
wsu14	WSU14
wsu14	WSU14
wsu14	WSU14
wsu14	WSU14
wsu14	WSU14
wsu14	WSU14
wsu14	WSU14
wsu14	WSU14
wsu14	WSU14
wsu14	WSU14
wsu14	WSU14
wsu14	WSU14
wsu14	WSU14
wsu14	WSU14
wsu14	WSU14
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu17	WSU17
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu2	WSU2
wsu20	WSU20
wsu20	WSU20
wsu20	WSU20
wsu20	WSU20
wsu20	WSU20
wsu20	WSU20
wsu20	WSU20
wsu20	WSU20
wsu20	WSU20
wsu20	WSU20
wsu20	WSU20
wsu20	WSU20
wsu24	WSU24
wsu24	WSU24
wsu24	WSU24
wsu24	WSU24
wsu24	WSU24
wsu24	WSU24
wsu24	WSU24
wsu24	WSU24
wsu24	WSU24
wsu24	WSU24
wsu24	WSU24
wsu24	WSU24
wsu24	WSU24
wsu24	WSU24
wsu24	WSU24
wsu24	WSU24
wsu24	WSU24
wsu24	WSU24
wsu24	WSU24
wsu24	WSU24
wsu24	WSU24
wsu30	WSU30
wsu30	WSU30
wsu30	WSU30
wsu30	WSU30
wsu30	WSU30
wsu30	WSU30
wsu30	WSU30
wsu30	WSU30
wsu30	WSU30
wsu30	WSU30
wsu30	WSU30
wsu30	WSU30
wsu30	WSU30
wsu30	WSU30
wsu30	WSU30
wsu30	WSU30
wsu30	WSU30
wsu30	WSU30
wsu31	WSU31
wsu31	WSU31
wsu31	WSU31
wsu31	WSU31
wsu31	WSU31
wsu31	WSU31
wsu31	WSU31
wsu31	WSU31
wsu31	WSU31
wsu31	WSU31
wsu31	WSU31
wsu31	WSU31
wsu31	WSU31
wsu31	WSU31
wsu31	WSU31
wsu31	WSU31
wsu31	WSU31
wsu31	WSU31
wsu31	WSU31
wsu31	WSU31
wsu31	WSU31
wsu31	WSU31
wsu31	WSU31
wsu31	WSU31
wsu32	WSU32
wsu32	WSU32
wsu32	WSU32
wsu32	WSU32
wsu32	WSU32
wsu32	WSU32
wsu32	WSU32
wsu32	WSU32
wsu32	WSU32
wsu32	WSU32
wsu32	WSU32
wsu32	WSU32
wsu32	WSU32
wsu32	WSU32
wsu32	WSU32
wsu32	WSU32
wsu32	WSU32
wsu32	WSU32
wsu32	WSU32
wsu32	WSU32
wsu32	WSU32
wsu32	WSU32
wsu32	WSU32
wsu32	WSU32
wsu32	WSU32
wsu32	WSU32
wsu32	WSU32
wsu32	WSU32
wsu32	WSU32
wsu32	WSU32
wsu32	WSU32
wsu32	WSU32
wsu32	WSU32
wsu33	WSU33
wsu33	WSU33
wsu33	WSU33
wsu33	WSU33
wsu33	WSU33
wsu33	WSU33
wsu33	WSU33
wsu33	WSU33
wsu33	WSU33
wsu33	WSU33
wsu33	WSU33
wsu33	WSU33
wsu33	WSU33
wsu33	WSU33
wsu33	WSU33
wsu33	WSU33
wsu33	WSU33
wsu33	WSU33
wsu33	WSU33
wsu33	WSU33
wsu33	WSU33
wsu33	WSU33
wsu34	WSU34
wsu34	WSU34
wsu34	WSU34
wsu34	WSU34
wsu34	WSU34
wsu34	WSU34
wsu34	WSU34
wsu34	WSU34
wsu34	WSU34
wsu34	WSU34
wsu34	WSU34
wsu34	WSU34
wsu34	WSU34
wsu34	WSU34
wsu34	WSU34
wsu34	WSU34
wsu34	WSU34
wsu34	WSU34
wsu35a	WSU35A
wsu35a	WSU35A
wsu35a	WSU35A
wsu35a	WSU35A
wsu35a	WSU35A
wsu35a	WSU35A
wsu35a	WSU35A
wsu35a	WSU35A
wsu35a	WSU35A
wsu35a	WSU35A
wsu35a	WSU35A
wsu35a	WSU35A
wsu36	WSU36
wsu36	WSU36
wsu36	WSU36
wsu36	WSU36
wsu36	WSU36
wsu36	WSU36
wsu36	WSU36
wsu36	WSU36
wsu36	WSU36
wsu36	WSU36
wsu36	WSU36
wsu36	WSU36
wsu36	WSU36
wsu36	WSU36
wsu36	WSU36
wsu36	WSU36
wsu36	WSU36
wsu36	WSU36
wsu36	WSU36
wsu36	WSU36
wsu36	WSU36
wsu36	WSU36
wsu36	WSU36
wsu36	WSU36
wsu36	WSU36
wsu36	WSU36
wsu36	WSU36
wsu36	WSU36
wsu36	WSU36
wsu37	WSU37
wsu37	WSU37
wsu37	WSU37
wsu37	WSU37
wsu37	WSU37
wsu37	WSU37
wsu37	WSU37
wsu37	WSU37
wsu37	WSU37
wsu37	WSU37
wsu37	WSU37
wsu37	WSU37
wsu37	WSU37
wsu37	WSU37
wsu37	WSU37
wsu37	WSU37
wsu37	WSU37
wsu37	WSU37
wsu37	WSU37
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu38	WSU38
wsu39	WSU39
wsu39	WSU39
wsu39	WSU39
wsu39	WSU39
wsu39	WSU39
wsu39	WSU39
wsu39	WSU39
wsu39	WSU39
wsu39	WSU39
wsu39	WSU39
wsu39	WSU39
wsu39	WSU39
wsu39	WSU39
wsu39	WSU39
wsu39	WSU39
wsu39	WSU39
wsu39	WSU39
wsu39	WSU39
wsu40	WSU40
wsu40	WSU40
wsu40	WSU40
wsu40	WSU40
wsu40	WSU40
wsu40	WSU40
wsu40	WSU40
wsu40	WSU40
wsu40	WSU40
wsu40	WSU40
wsu40	WSU40
wsu40	WSU40
wsu40	WSU40
wsu40	WSU40
wsu40	WSU40
wsu40	WSU40
wsu40	WSU40
wsu40	WSU40
wsu40	WSU40
wsu40	WSU40
wsu40	WSU40
wsu41	WSU41
wsu41	WSU41
wsu41	WSU41
wsu41	WSU41
wsu41	WSU41
wsu41	WSU41
wsu41	WSU41
wsu41	WSU41
wsu41	WSU41
wsu41	WSU41
wsu41	WSU41
wsu41	WSU41
wsu41	WSU41
wsu41	WSU41
wsu41	WSU41
wsu41	WSU41
wsu41	WSU41
wsu41	WSU41
wsu41	WSU41
wsu41	WSU41
wsu41	WSU41
wsu41	WSU41
wsu45	WSU45
wsu45	WSU45
wsu45	WSU45
wsu45	WSU45
wsu45	WSU45
wsu45	WSU45
wsu45	WSU45
wsu45	WSU45
wsu45	WSU45
wsu45	WSU45
wsu45	WSU45
wsu45	WSU45
wsu45	WSU45
wsu45	WSU45
wsu45	WSU45
wsu45	WSU45
wsu45	WSU45
wsu46	WSU46
wsu46	WSU46
wsu46	WSU46
wsu46	WSU46
wsu46	WSU46
wsu46	WSU46
wsu46	WSU46
wsu46	WSU46
wsu46	WSU46
wsu46	WSU46
wsu46	WSU46
wsu46	WSU46
wsu46	WSU46
wsu46	WSU46
wsu46	WSU46
wsu46	WSU46
wsu46	WSU46
wsu46	WSU46
wsu46	WSU46
wsu46	WSU46
wsu46	WSU46
wsu46	WSU46
wsu46	WSU46
wsu46	WSU46
wsu46	WSU46
wsu46	WSU46
wsu46	WSU46
wsu46	WSU46
wsu46	WSU46
wsu48	WSU48
wsu49	WSU49
wsu49	WSU49
wsu49	WSU49
wsu49	WSU49
wsu49	WSU49
wsu49	WSU49
wsu49	WSU49
wsu49	WSU49
wsu49	WSU49
wsu49	WSU49
wsu49	WSU49
wsu49	WSU49
wsu49	WSU49
wsu49	WSU49
wsu49	WSU49
wsu49	WSU49
wsu49	WSU49
wsu49	WSU49
wsu49	WSU49
wsu49	WSU49
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu5	WSU5
wsu50	WSU50
wsu50	WSU50
wsu50	WSU50
wsu50	WSU50
wsu50	WSU50
wsu50	WSU50
wsu50	WSU50
wsu50	WSU50
wsu50	WSU50
wsu50	WSU50
wsu50	WSU50
wsu50	WSU50
wsu50	WSU50
wsu50	WSU50
wsu50	WSU50
wsu50	WSU50
