#progeny
#Accession
t21-21-96-9519	T21-21-96-9519
t21-21-9-9519	T21-21-9-9519
t21-22-104-9519	T21-22-104-9519
t21-22-104-9519	T21-22-104-9519
t21-22-32-9502	T21-22-32-9502
t21-22-61-9502	T21-22-61-9502
t21-22-90-9519	T21-22-90-9519
t21-2-30-9511	T21-2-30-9511
t21-23-112-0000	T21-23-112-0000
t21-23-32-0000	T21-23-32-0000
t21-23-59-0000	T21-23-59-0000
t21-4-7-9553	T21-4-7-9553
t21-6-39-9553	T21-6-39-9553
t21-6-70-9553	T21-6-70-9553
t21-6-8-9553	T21-6-8-9553
t21-7-77-9537	T21-7-77-9537
t21-7-77-9537	T21-7-77-9537
t21-9-89-9537	T21-9-89-9537
wsu16	WSU16
wsu23	WSU23
wsu26	WSU26
wsu3	WSU3
wsu3	WSU3
ambrosia	Ambrosia
arlet	Arlet
aurgoldga	AurGoldGa
aurgoldga	AurGoldGa
autumngold	AutumnGold
bc-8m-15-10	Creston
bc-8m-15-10	Creston
bc-8ne-7-72	BC-8NE-7-72
bc-8s-26-50	BC-8S-26-50
bc-8s-27-2	BC-8S-27-2
bc-8s-27-2	BC-8S-27-2
bc-8s-27-2	BC-8S-27-2
bc-8s-27-43	BC-8S-27-43
bc-8s-31-56	BC-8S-31-56
bc-8s-31-56	BC-8S-31-56
braeburn	Braeburn
braeburn	Braeburn
cameo	Cameo
cameo	Cameo
chinook	Chinook
cqr10-t17	CQR10-T17
cqr12-t50	CQR12-T50
crimscrisp	Crimscrisp
crippspink	WSU97
delblush	Delblush
delblush	Delblush
delgorov	Delgorov
deljorom	Deljorom
delkid	Delkid
delorgue	Delorgue
delorina	Delorina
delrose	Delrose
delroval	Delroval
delroval	Delroval
delshel	Delshel
elliot	Elliot
empire	Empire
empire	Empire
enterprise	Enterprise
enterprise	Enterprise
flemingp-132-9427	FlemingP-132-9427
fortune	Fortune
fuji	Fuji
fuji	Fuji
fuji	Fuji
gala	Gala
galasupreme	GalaSupreme
goldendel	WSU133
goldrush	Goldrush
hampshire	Hampshire
hatsuaki	Hatsuaki
honeycrisp	WSU115
honeycrisp	WSU115
monidel	Monidel
nj109	NJ109
ny75414-1	NY75414-1
ny79507-72	NY79507-72
orin	Orin
pinova	Pinova
px4013	PX4013
reddelicious	RedDelicious
runkel	Runkel
scarletspire	ScarletSpire
scifresh	Scifresh
sciros	Sciros
senshu	Senshu
shinsekai	Shinsekai
shizuka	Shizuka
silken	Silken
silken	Silken
spa283	SPA283
spa283	SPA283
spa343	SPA343
spa365	SPA365
spa440	SPA440
spa505	SPA505
suncrisp	Suncrisp
sundowner	Sundowner
sunrise	Sunrise
t18-10-56-9518	T18-10-56-9518
t18-8-68-9518	T18-8-68-9518
t18-9-19-9518	T18-9-19-9518
t18-9-4-9510	T18-9-4-9510
t18-or-19-9427	T18-OR-19-9427
t18-or-25-9427	T18-OR-25-9427
t19-10-44-9435	T19-10-44-9435
t19-10-70-9435	T19-10-70-9435
t19-11-99-9417	T19-11-99-9417
t19-16-110-9427	T19-16-110-9427
t19-17-057-9427	T19-17-057-9427
t19-17-1-9427	T19-17-1-9427
t19-17-91-9427	T19-17-91-9427
t19-21-101-9427	T19-21-101-9427
t19-22-4-9427	T19-22-4-9427
t19-24-3-9427	T19-24-3-9427
t19-25-66-9427	T19-25-66-9427
t19-26-5-9402	T19-26-5-9402
t19-37-82-9401	T19-37-82-9401
t19-37-88-9401	T19-37-88-9401
t19-37-88-9401	T19-37-88-9401
t19-39-44-9423	T19-39-44-9423
t19-39-85-9423	T19-39-85-9423
t19-40-97-9423	T19-40-97-9423
t19-49-038-9441	T19-49-038-9441
t19-57-37-9430	T19-57-37-9430
t19-58-37-9430	T19-58-37-9430
t19-61-73-9427	T19-61-73-9427
t19-64-47-9427	T19-64-47-9427
t19-9-66-9435	T19-9-66-9435
tsugaru	Tsugaru
tsugaru	Tsugaru
ultraspire	UltraSpire
wsu1	WSU1
wsu16	WSU16
wsu2	WSU2
wsu3	WSU3
wsu4	WSU4
wsu5	WSU5
wsu6	WSU6
wsu6	WSU6
wsu6	WSU6
wsu7	WSU7
yataka	Yataka
zestar	Zestar
ambrosia	Ambrosia
ambrosia	Ambrosia
arlet	Arlet
arlet	Arlet
arlet	Arlet
arlet	Arlet
arlet	Arlet
arlet	Arlet
arlet	Arlet
aurgoldga	AurGoldGa
aurgoldga	AurGoldGa
autumngold	AutumnGold
bc-8m-15-10	Creston
bc-8m-15-10	Creston
bc-8ne-7-72	BC-8NE-7-72
bc-8ne-7-72	BC-8NE-7-72
bc-8s-27-43	BC-8S-27-43
bc-8s-27-43	BC-8S-27-43
bc-8s-27-43	BC-8S-27-43
bc-8s-31-56	BC-8S-31-56
bc-8s-31-56	BC-8S-31-56
cameo	Cameo
cameo	Cameo
cqr10-t17	CQR10-T17
cqr10-t17	CQR10-T17
cqr12-t50	CQR12-T50
crimscrisp	Crimscrisp
crimscrisp	Crimscrisp
crippspink	WSU97
cv12-10a-24-9623	CV12-10A-24-9623
cv12-10a-28-9623	CV12-10A-28-9623
cv12-10a-28-9623	CV12-10A-28-9623
cv12-10a-28-9623	CV12-10A-28-9623
cv12-10a-28-9623	CV12-10A-28-9623
cv12-10a-42-9623	CV12-10A-42-9623
cv12-10a-62-9623	CV12-10A-62-9623
cv12-10a-62-9623	CV12-10A-62-9623
cv12-10b-28-9620	CV12-10B-28-9620
cv12-10b-28-9620	CV12-10B-28-9620
cv12-11a-18-9645	CV12-11A-18-9645
cv12-11a-24-9623	CV12-11A-24-9623
cv12-11a-24-9623	CV12-11A-24-9623
cv12-11a-61-9623	CV12-11A-61-9623
cv12-11a-61-9623	CV12-11A-61-9623
cv12-11a-68-9623	CV12-11A-68-9623
cv12-11a-68-9623	CV12-11A-68-9623
cv12-11b-47-9650	CV12-11B-47-9650
cv12-11b-47-9650	CV12-11B-47-9650
cv12-11b-50-9650	CV12-11B-50-9650
cv12-11b-50-9650	CV12-11B-50-9650
cv12-11b-50-9650	CV12-11B-50-9650
cv12-11b-50-9650	CV12-11B-50-9650
cv12-11b-68-9650	CV12-11B-68-9650
cv12-11b-68-9650	CV12-11B-68-9650
cv12-11b-68-9650	CV12-11B-68-9650
cv12-11b-68-9650	CV12-11B-68-9650
cv12-12a-56-9645	CV12-12A-56-9645
cv12-12a-56-9645	CV12-12A-56-9645
cv12-18a-11-9729	CV12-18A-11-9729
cv12-18a-11-9729	CV12-18A-11-9729
cv12-18a-27-9729	CV12-18A-27-9729
cv12-18a-27-9729	CV12-18A-27-9729
cv12-19b-1-9735	CV12-19B-1-9735
cv12-19b-23-9735	CV12-19B-23-9735
cv12-19b-23-9735	CV12-19B-23-9735
cv12-1b-21-9734	CV12-1B-21-9734
cv12-1b-4-9734	CV12-1B-4-9734
cv12-1b-4-9734	CV12-1B-4-9734
cv12-1b-7-9734	CV12-1B-7-9734
cv12-1b-7-9734	CV12-1B-7-9734
cv12-20a-10-9728	CV12-20A-10-9728
cv12-21a-27-9727	CV12-21A-27-9727
cv12-21a-27-9727	CV12-21A-27-9727
cv12-21a-41-9727	CV12-21A-41-9727
cv12-21a-41-9727	CV12-21A-41-9727
cv12-21b-13-9714	CV12-21B-13-9714
cv12-22b-66-9714	CV12-22B-66-9714
cv12-24a-3-9733	CV12-24A-3-9733
cv12-24a-3-9733	CV12-24A-3-9733
cv12-25b-62-9621	CV12-25B-62-9621
cv12-27a-18-9712	CV12-27A-18-9712
cv12-27a-3-9712	CV12-27A-3-9712
cv12-27a-54-9712	CV12-27A-54-9712
cv12-27a-54-9712	CV12-27A-54-9712
cv12-27a-62-9712	CV12-27A-62-9712
cv12-27a-62-9712	CV12-27A-62-9712
cv12-29a-24-9709	CV12-29A-24-9709
cv12-29a-24-9709	CV12-29A-24-9709
cv12-30b-31-9619	CV12-30B-31-9619
cv12-30b-31-9619	CV12-30B-31-9619
cv12-31a-48-9716	CV12-31A-48-9716
cv12-31b-58-9619	CV12-31B-58-9619
cv12-31b-58-9619	CV12-31B-58-9619
cv12-31b-6-9619	CV12-31B-6-9619
cv12-31b-6-9619	CV12-31B-6-9619
cv12-34a-76-9741	CV12-34A-76-9741
cv12-39a-29-9528	CV12-39A-29-9528
cv12-39a-29-9528	CV12-39A-29-9528
cv12-39a-32-9528	CV12-39A-32-9528
cv12-39a-32-9528	CV12-39A-32-9528
cv12-3b-21-9734	CV12-3B-21-9734
cv12-42a-85-9649	CV12-42A-85-9649
cv12-43a-26-9734	CV12-43A-26-9734
cv12-43a-26-9734	CV12-43A-26-9734
cv12-43a-67-9734	CV12-43A-67-9734
cv12-5b-42-9624	CV12-5B-42-9624
cv12-5b-42-9624	CV12-5B-42-9624
cv12-6b-57-9624	CV12-6B-57-9624
cv12-6b-64-9624	CV12-6B-64-9624
cv12-7b-62-9624	CV12-7B-62-9624
